TimeExecution,NumberofSeeds,n,kmer_len,w_min,w_max,mask,seed_generator_method,Sample
25808,9960,2,15,25,1000,18446744073709551615,MAMod,1
21461,9960,2,15,25,1000,18446744073709551615,MAMod,2
18643,9960,2,15,25,1000,18446744073709551615,MAMod,3
22618,9960,2,15,25,1000,18446744073709551615,MAMod,4
18166,9960,2,15,25,1000,18446744073709551615,MAMod,5
17677,9960,2,15,25,1000,18446744073709551615,MAMod,6
18470,9960,2,15,25,1000,18446744073709551615,MAMod,7
17721,9960,2,15,25,1000,18446744073709551615,MAMod,8
17680,9960,2,15,25,1000,18446744073709551615,MAMod,9
19074,9960,2,15,25,1000,18446744073709551615,MAMod,10
